,pick_count,pick_rate,ban_count,ban_rate,presence_count,presence_rate
Ezreal,7839,0.07697141678858635,2323,0.0228096187268639,10162,0.09978103551545026
Akshan,3937,0.03865754150997123,5950,0.05842325933053818,9887,0.09708080084050941
Sett,6758,0.06635703975727344,3034,0.02979095274098367,9792,0.09614799249825712
Katarina,4986,0.04895770941547284,4726,0.04640476026825604,9712,0.09536246968372887
XinZhao,6332,0.062174130769910546,3366,0.033050872421275884,9698,0.09522500319118643
Shen,5864,0.05757882230492032,3802,0.037331971760454816,9666,0.09491079406537514
FiddleSticks,4013,0.03940378818377306,5411,0.053130799367654136,9424,0.0925345875514272
Jayce,4723,0.04637530316271123,4245,0.041681804345904974,8968,0.0880571075086162
Soraka,6172,0.06060308514085406,2574,0.025274196557446265,8746,0.08587728169830032
Udyr,4544,0.04461769586520428,4099,0.04024822520939093,8643,0.08486592107459522
Garen,5627,0.0552517109668804,3004,0.02949638168553558,8631,0.08474809265241598
Naafiri,3237,0.03178421688284909,5376,0.05278713313629803,8613,0.08457135001914712
Ashe,6898,0.06773170468269787,1714,0.01682982630126764,8612,0.08456153098396552
Zyra,4888,0.04799544396767574,3487,0.03423897567824986,8375,0.0822344196459256
Janna,6034,0.05924805828579284,2175,0.021356401519986645,8209,0.08060445980577949
Rell,5400,0.0530227899806565,2685,0.026364109462604205,8085,0.0793868994432607
Fizz,3699,0.036320611136749704,4386,0.043066288306511005,8085,0.0793868994432607
Xerath,5540,0.05439745490608093,2489,0.024439578567010005,8029,0.07883703347309093
Zac,4615,0.0453148473630981,3247,0.03188240723466512,7862,0.07719725459776322
Orianna,6574,0.06455033728385849,1202,0.011802480288286872,7776,0.07635281757214536
Kayle,4362,0.042830631462152526,3340,0.03279557750655421,7702,0.07562620896870674
Azir,5355,0.05258093339748436,2262,0.022210657580786112,7617,0.07479159097827047
Sion,6143,0.06031833312058757,1413,0.013874296711605118,7556,0.07419262983219269
Graves,4261,0.04183890890881062,3278,0.032186797325294815,7539,0.07402570623410544
Elise,4446,0.04365543041740719,3029,0.029741857565075656,7475,0.07339728798248284
Qiyana,4592,0.045089009553921235,2619,0.0257160531406184,7211,0.07080506269453964
TwistedFate,5440,0.053415551387920625,1711,0.01680036919572283,7151,0.07021592058364345
KSante,4515,0.04433294384493779,2606,0.025588405683257563,7121,0.06992134952819536
Nasus,3927,0.0385593511581552,3121,0.030645208801783137,7048,0.06920455995993834
Tryndamere,3531,0.03467101322624039,3426,0.033640014532172066,6957,0.06831102775841245
Varus,5645,0.05542845360014925,1295,0.012715650560175958,6940,0.06814410416032521
Gragas,5301,0.0520507054976778,1604,0.0157497324312913,6905,0.0678004379289691
Samira,3927,0.0385593511581552,2938,0.028848325363549778,6865,0.06740767652170497
Neeko,3977,0.03905030291723535,2763,0.02712999420676924,6740,0.0661802971240046
Urgot,4472,0.043910725332128864,2247,0.022063372053062066,6719,0.06597409738519093
MonkeyKing,5209,0.051147354260970314,1465,0.014384886541048476,6674,0.06553224080201879
Evelynn,2830,0.027787869563936647,3828,0.0375872666751765,6658,0.06537513623911315
MissFortune,5800,0.056950404053297723,835,0.008198894376638552,6635,0.06514929842993628
Camille,4442,0.04361615427668077,2098,0.02060033581100321,6540,0.06421649008768399
